Reads	Human_reads_removed
Sample_225-CAB188_5H3_1.fastq.gz	388321
Sample_225-CAB188_5H3_2.fastq.gz	388321
Sample_226-CAB18X_5H4_1.fastq.gz	277422
Sample_226-CAB18X_5H4_2.fastq.gz	277422
Sample_227-CAC14C_5H6_1.fastq.gz	60964
Sample_227-CAC14C_5H6_2.fastq.gz	60964
Sample_228-CAC14D_5H7_1.fastq.gz	59980
Sample_228-CAC14D_5H7_2.fastq.gz	59980
Sample_229-CAD14L_5H8_1.fastq.gz	697368
Sample_229-CAD14L_5H8_2.fastq.gz	697368
Sample_22-CAE109_1D6_1.fastq.gz	53267
Sample_22-CAE109_1D6_2.fastq.gz	53267
Sample_230-NC_5_I3_1.fastq.gz	64651
Sample_230-NC_5_I3_2.fastq.gz	64651
Sample_231-CAD12D_5I7_1.fastq.gz	36341
Sample_231-CAD12D_5I7_2.fastq.gz	36341
Sample_232-CAL107_6A2_1.fastq.gz	72484
Sample_232-CAL107_6A2_2.fastq.gz	72484
Sample_233-CAD10L_6A3_1.fastq.gz	71128
Sample_233-CAD10L_6A3_2.fastq.gz	71128
Sample_234-CAE107_6A5_1.fastq.gz	120739
Sample_234-CAE107_6A5_2.fastq.gz	120739
Sample_235-CAC10W_6A7_1.fastq.gz	1442011
Sample_235-CAC10W_6A7_2.fastq.gz	1442011
Sample_236-CAB11G_6A9_1.fastq.gz	39578710
Sample_236-CAB11G_6A9_2.fastq.gz	39578710
Sample_237-CAC10Y_6B2_1.fastq.gz	417774
Sample_237-CAC10Y_6B2_2.fastq.gz	417774
Sample_238-CAB11I_6B4_1.fastq.gz	41310
Sample_238-CAB11I_6B4_2.fastq.gz	41310
Sample_239-CAM103_6B5_1.fastq.gz	52113
Sample_239-CAM103_6B5_2.fastq.gz	52113
Sample_23-CAC111_1D9_1.fastq.gz	140139
Sample_23-CAC111_1D9_2.fastq.gz	140139
Sample_240-CAE10U_6B7_1.fastq.gz	49461
Sample_240-CAE10U_6B7_2.fastq.gz	49461
Sample_241-CAC12D_6B8_1.fastq.gz	49677
Sample_241-CAC12D_6B8_2.fastq.gz	49677
Sample_242-CAE10X_6C1_1.fastq.gz	85590
Sample_242-CAE10X_6C1_2.fastq.gz	85590
Sample_243-CAE10W_6C2_1.fastq.gz	800177
Sample_243-CAE10W_6C2_2.fastq.gz	800177
Sample_244-CAI10F_6C3_1.fastq.gz	84730
Sample_244-CAI10F_6C3_2.fastq.gz	84730
Sample_245-CAE10V_6C6_1.fastq.gz	37560
Sample_245-CAE10V_6C6_2.fastq.gz	37560
Sample_246-CAG11T_6C7_1.fastq.gz	29068
Sample_246-CAG11T_6C7_2.fastq.gz	29068
Sample_247-CAC11N_6C8_1.fastq.gz	19259
Sample_247-CAC11N_6C8_2.fastq.gz	19259
Sample_248-CAD13T_6C9_1.fastq.gz	36113057
Sample_248-CAD13T_6C9_2.fastq.gz	36113057
Sample_249-CAB15M_6D1_1.fastq.gz	59561026
Sample_249-CAB15M_6D1_2.fastq.gz	59561026
Sample_24-CAM104_1E1_1.fastq.gz	162979
Sample_24-CAM104_1E1_2.fastq.gz	162979
Sample_250-CAG11S_6D2_1.fastq.gz	56653
Sample_250-CAG11S_6D2_2.fastq.gz	56653
Sample_251-CAD135_6D3_1.fastq.gz	44572
Sample_251-CAD135_6D3_2.fastq.gz	44572
Sample_252-CAB15X_6D4_1.fastq.gz	124281
Sample_252-CAB15X_6D4_2.fastq.gz	124281
Sample_253-CAJ105_6D5_1.fastq.gz	43448
Sample_253-CAJ105_6D5_2.fastq.gz	43448
Sample_254-CAJ104_6D6_1.fastq.gz	381783
Sample_254-CAJ104_6D6_2.fastq.gz	381783
Sample_255-CAE10Z_6D7_1.fastq.gz	1298470
Sample_255-CAE10Z_6D7_2.fastq.gz	1298470
Sample_256-CAH117_6D8_1.fastq.gz	249368
Sample_256-CAH117_6D8_2.fastq.gz	249368
Sample_257-CAB15Y_6D9_1.fastq.gz	1519883
Sample_257-CAB15Y_6D9_2.fastq.gz	1519883
Sample_258-CAC11P_6E1_1.fastq.gz	3757263
Sample_258-CAC11P_6E1_2.fastq.gz	3757263
Sample_259-NC_6_E3_1.fastq.gz	18200
Sample_259-NC_6_E3_2.fastq.gz	18200
Sample_25-NC_1_E4_1.fastq.gz	14684
Sample_25-NC_1_E4_2.fastq.gz	14684
Sample_260-CAC11Q_6E4_1.fastq.gz	51093
Sample_260-CAC11Q_6E4_2.fastq.gz	51093
Sample_261-CAB15Z_6E5_1.fastq.gz	299391
Sample_261-CAB15Z_6E5_2.fastq.gz	299391
Sample_262-CAH118_6E7_1.fastq.gz	12056640
Sample_262-CAH118_6E7_2.fastq.gz	12056640
Sample_263-CAI10G_6E9_1.fastq.gz	137013
Sample_263-CAI10G_6E9_2.fastq.gz	137013
Sample_264-CAE10Y_6F1_1.fastq.gz	51916
Sample_264-CAE10Y_6F1_2.fastq.gz	51916
Sample_265-CAN101_6F4_1.fastq.gz	86827
Sample_265-CAN101_6F4_2.fastq.gz	86827
Sample_266-CAB160_6F6_1.fastq.gz	26793606
Sample_266-CAB160_6F6_2.fastq.gz	26793606
Sample_267-CAM10N_6F7_1.fastq.gz	43294
Sample_267-CAM10N_6F7_2.fastq.gz	43294
Sample_268-CAD13U_6F8_1.fastq.gz	35051
Sample_268-CAD13U_6F8_2.fastq.gz	35051
Sample_269-CAB162_6F9_1.fastq.gz	102173
Sample_269-CAB162_6F9_2.fastq.gz	102173
Sample_26-CAD10K_1E7_1.fastq.gz	73461
Sample_26-CAD10K_1E7_2.fastq.gz	73461
Sample_270-CAC11R_6G1_1.fastq.gz	1006153
Sample_270-CAC11R_6G1_2.fastq.gz	1006153
Sample_271-CAB161_6G2_1.fastq.gz	10055814
Sample_271-CAB161_6G2_2.fastq.gz	10055814
Sample_272-CAG11V_6G3_1.fastq.gz	213151
Sample_272-CAG11V_6G3_2.fastq.gz	213151
Sample_273-CAE111_6G4_1.fastq.gz	211815
