file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Sample_294-CAB15G_7A8_2.fastq	FASTQ	DNA	4602616	434738187	20	94.5	151
Sample_295-CAI10E_7B1_1.fastq	FASTQ	DNA	63711352	5778472016	20	90.7	151
Sample_295-CAI10E_7B1_2.fastq	FASTQ	DNA	63711352	5764223204	20	90.5	151
Sample_296-CAH10J_7B2_1.fastq	FASTQ	DNA	48176061	4255203099	20	88.3	151
Sample_296-CAH10J_7B2_2.fastq	FASTQ	DNA	48176061	4245693648	20	88.1	151
Sample_297-CAD13Q_7B3_1.fastq	FASTQ	DNA	50872357	4341458845	20	85.3	151
Sample_297-CAD13Q_7B3_2.fastq	FASTQ	DNA	50872357	4328268327	20	85.1	151
Sample_298-CAC12A_7B5_1.fastq	FASTQ	DNA	45422005	4301972759	20	94.7	151
Sample_298-CAC12A_7B5_2.fastq	FASTQ	DNA	45422005	4289760786	20	94.4	151
Sample_299-CAL10W_7B6_1.fastq	FASTQ	DNA	44569905	3852014549	20	86.4	151
Sample_299-CAL10W_7B6_2.fastq	FASTQ	DNA	44569905	3839747142	20	86.2	151
Sample_29-CAH100_1F5_1.fastq	FASTQ	DNA	259186	25146265	20	97.0	151
Sample_29-CAH100_1F5_2.fastq	FASTQ	DNA	259186	25079682	20	96.8	151
Sample_2-CAB12C_1A2_1.fastq	FASTQ	DNA	77908242	6014335687	20	77.2	151
Sample_2-CAB12C_1A2_2.fastq	FASTQ	DNA	77908242	5993941232	20	76.9	151
Sample_300-CAB15H_7B7_1.fastq	FASTQ	DNA	23730030	2482755484	20	104.6	151
Sample_300-CAB15H_7B7_2.fastq	FASTQ	DNA	23730030	2473906308	20	104.3	151
Sample_301-CAD13R_7B8_1.fastq	FASTQ	DNA	29838569	3200987011	20	107.3	151
Sample_301-CAD13R_7B8_2.fastq	FASTQ	DNA	29838569	3192415790	20	107.0	151
Sample_302-CAC12C_7C3_1.fastq	FASTQ	DNA	47534010	4179938593	20	87.9	151
Sample_302-CAC12C_7C3_2.fastq	FASTQ	DNA	47534010	4170735330	20	87.7	151
Sample_303-CAG120_7C8_1.fastq	FASTQ	DNA	130566258	11078063093	20	84.8	151
Sample_303-CAG120_7C8_2.fastq	FASTQ	DNA	130566258	11054832989	20	84.7	151
Sample_304-CAE12H_7C9_1.fastq	FASTQ	DNA	41188558	3629583582	20	88.1	151
Sample_304-CAE12H_7C9_2.fastq	FASTQ	DNA	41188558	3622047445	20	87.9	151
Sample_305-CAC133_7D1_1.fastq	FASTQ	DNA	26071761	2489127866	20	95.5	151
Sample_305-CAC133_7D1_2.fastq	FASTQ	DNA	26071761	2465784564	20	94.6	151
Sample_306-CAI10L_7D2_1.fastq	FASTQ	DNA	56404539	5163129366	20	91.5	151
Sample_306-CAI10L_7D2_2.fastq	FASTQ	DNA	56404539	5153051349	20	91.4	151
Sample_307-NC_7_D3_1.fastq	FASTQ	DNA	2159047	220457658	20	102.1	151
Sample_307-NC_7_D3_2.fastq	FASTQ	DNA	2159047	219927492	20	101.9	151
Sample_308-CAC11S_7D4_1.fastq	FASTQ	DNA	49346671	4502429716	20	91.2	151
Sample_308-CAC11S_7D4_2.fastq	FASTQ	DNA	49346671	4492374782	20	91.0	151
Sample_309-CAC12Z_7D6_1.fastq	FASTQ	DNA	77850181	5144028351	20	66.1	151
Sample_309-CAC12Z_7D6_2.fastq	FASTQ	DNA	77850181	5137623262	20	66.0	151
Sample_30-CAD10I_1F6_1.fastq	FASTQ	DNA	70373887	6305371806	20	89.6	151
Sample_30-CAD10I_1F6_2.fastq	FASTQ	DNA	70373887	6290143137	20	89.4	151
Sample_310-CAG11X_7D7_1.fastq	FASTQ	DNA	38847515	3097900903	20	79.7	151
Sample_310-CAG11X_7D7_2.fastq	FASTQ	DNA	38847515	3093114815	20	79.6	151
Sample_311-CAB164_7D9_1.fastq	FASTQ	DNA	37109252	3207418579	20	86.4	151
Sample_311-CAB164_7D9_2.fastq	FASTQ	DNA	37109252	3196361357	20	86.1	151
Sample_312-CAD13V_7E1_1.fastq	FASTQ	DNA	61321373	4346253136	20	70.9	151
Sample_312-CAD13V_7E1_2.fastq	FASTQ	DNA	61321373	4338711707	20	70.8	151
Sample_313-CAM10P_7E2_1.fastq	FASTQ	DNA	47579347	4040474670	20	84.9	151
Sample_313-CAM10P_7E2_2.fastq	FASTQ	DNA	47579347	4032936370	20	84.8	151
Sample_314-CAG11U_7E3_1.fastq	FASTQ	DNA	36150628	3706896998	20	102.5	151
Sample_314-CAG11U_7E3_2.fastq	FASTQ	DNA	36150628	3690988087	20	102.1	151
Sample_315-CAB165_7E4_1.fastq	FASTQ	DNA	34222574	2901554792	20	84.8	151
